Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop Fast Track Version 18.1.1.9 - 2014-01-16	 	 
Decimal Symbol:	.	 	 
Date Format:	dd/MM/yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 2.0000000000e+001	 	 
X-Axis delta:	 3.1250000000e+000	 	 
	 	 	 
AmplitudeUnit:	Pa/V	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 1.0020000000e+004	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
InputRange:	 1.0000000000e+001	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 3.2000000000e-001	 	 
ReducedSize:	True	 	 
Ref_Signal:	gen	 	 
	 	 	 
	 	 	 
RefSignalUnit:	V	 	 
	 	 	 
	 	 	 
Signal:	mic 1	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(mic 1,gen) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	True	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	22/05/2025	 
Time:	 	10:11:54:846	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 2.0000000000e+001	-3.92750e-003	 5.37406e-002
2	 2.3125000000e+001	-1.52606e-003	 6.06768e-002
3	 2.6250000000e+001	 3.22528e-003	 7.19930e-002
4	 2.9375000000e+001	 9.31388e-003	 8.29102e-002
5	 3.2500000000e+001	 1.43173e-002	 9.50317e-002
6	 3.5625000000e+001	 2.02869e-002	 1.10476e-001
7	 3.8750000000e+001	 3.07909e-002	 1.21007e-001
8	 4.1875000000e+001	 4.02125e-002	 1.29078e-001
9	 4.5000000000e+001	 4.82398e-002	 1.37009e-001
10	 4.8125000000e+001	 5.52853e-002	 1.44608e-001
11	 5.1250000000e+001	 6.04473e-002	 1.55325e-001
12	 5.4375000000e+001	 6.90549e-002	 1.75612e-001
13	 5.7500000000e+001	 9.33616e-002	 1.95859e-001
14	 6.0625000000e+001	 1.23116e-001	 2.01595e-001
15	 6.3750000000e+001	 1.47517e-001	 1.99197e-001
16	 6.6875000000e+001	 1.65915e-001	 1.94119e-001
17	 7.0000000000e+001	 1.81262e-001	 1.91199e-001
18	 7.3125000000e+001	 1.97423e-001	 1.88716e-001
19	 7.6250000000e+001	 2.13055e-001	 1.84527e-001
20	 7.9375000000e+001	 2.27710e-001	 1.79870e-001
21	 8.2500000000e+001	 2.42090e-001	 1.75208e-001
22	 8.5625000000e+001	 2.56423e-001	 1.69931e-001
23	 8.8750000000e+001	 2.70854e-001	 1.64005e-001
24	 9.1875000000e+001	 2.85103e-001	 1.57436e-001
25	 9.5000000000e+001	 2.98968e-001	 1.49737e-001
26	 9.8125000000e+001	 3.12338e-001	 1.41017e-001
27	 1.0125000000e+002	 3.24541e-001	 1.31441e-001
28	 1.0437500000e+002	 3.35887e-001	 1.21673e-001
29	 1.0750000000e+002	 3.46960e-001	 1.12324e-001
30	 1.1062500000e+002	 3.58031e-001	 1.02707e-001
31	 1.1375000000e+002	 3.68911e-001	 9.25026e-002
32	 1.1687500000e+002	 3.79315e-001	 8.17496e-002
33	 1.2000000000e+002	 3.89267e-001	 7.06135e-002
34	 1.2312500000e+002	 3.98677e-001	 5.91998e-002
35	 1.2625000000e+002	 4.07725e-001	 4.75328e-002
36	 1.2937500000e+002	 4.16348e-001	 3.55171e-002
37	 1.3250000000e+002	 4.24425e-001	 2.32263e-002
38	 1.3562500000e+002	 4.32132e-001	 1.05753e-002
39	 1.3875000000e+002	 4.39542e-001	-2.15611e-003
40	 1.4187500000e+002	 4.46603e-001	-1.51218e-002
41	 1.4500000000e+002	 4.53234e-001	-2.83915e-002
42	 1.4812500000e+002	 4.59372e-001	-4.23075e-002
43	 1.5125000000e+002	 4.65218e-001	-5.60277e-002
44	 1.5437500000e+002	 4.70659e-001	-6.92420e-002
45	 1.5750000000e+002	 4.75808e-001	-8.26506e-002
46	 1.6062500000e+002	 4.80676e-001	-9.60575e-002
47	 1.6375000000e+002	 4.85568e-001	-1.09347e-001
48	 1.6687500000e+002	 4.90897e-001	-1.22658e-001
49	 1.7000000000e+002	 4.96869e-001	-1.35985e-001
50	 1.7312500000e+002	 5.03752e-001	-1.50378e-001
51	 1.7625000000e+002	 5.10448e-001	-1.66849e-001
52	 1.7937500000e+002	 5.16131e-001	-1.84898e-001
53	 1.8250000000e+002	 5.20598e-001	-2.03542e-001
54	 1.8562500000e+002	 5.23677e-001	-2.22855e-001
55	 1.8875000000e+002	 5.24882e-001	-2.42458e-001
56	 1.9187500000e+002	 5.25632e-001	-2.61081e-001
57	 1.9500000000e+002	 5.25275e-001	-2.79300e-001
58	 1.9812500000e+002	 5.23859e-001	-2.97281e-001
59	 2.0125000000e+002	 5.23517e-001	-3.13978e-001
60	 2.0437500000e+002	 5.22846e-001	-3.30626e-001
61	 2.0750000000e+002	 5.22421e-001	-3.47530e-001
62	 2.1062500000e+002	 5.23798e-001	-3.64635e-001
63	 2.1375000000e+002	 5.23691e-001	-3.83720e-001
64	 2.1687500000e+002	 5.24387e-001	-4.03530e-001
65	 2.2000000000e+002	 5.23085e-001	-4.24843e-001
66	 2.2312500000e+002	 5.20255e-001	-4.46586e-001
67	 2.2625000000e+002	 5.17295e-001	-4.68172e-001
68	 2.2937500000e+002	 5.11299e-001	-4.89613e-001
69	 2.3250000000e+002	 5.06746e-001	-5.11093e-001
70	 2.3562500000e+002	 4.98789e-001	-5.32006e-001
71	 2.3875000000e+002	 4.92367e-001	-5.53312e-001
72	 2.4187500000e+002	 4.82903e-001	-5.73589e-001
73	 2.4500000000e+002	 4.74269e-001	-5.93988e-001
74	 2.4812500000e+002	 4.63566e-001	-6.12715e-001
75	 2.5125000000e+002	 4.53656e-001	-6.31391e-001
76	 2.5437500000e+002	 4.42716e-001	-6.48441e-001
77	 2.5750000000e+002	 4.33237e-001	-6.65613e-001
78	 2.6062500000e+002	 4.23499e-001	-6.81744e-001
79	 2.6375000000e+002	 4.14956e-001	-6.98812e-001
80	 2.6687500000e+002	 4.05717e-001	-7.15438e-001
81	 2.7000000000e+002	 3.97884e-001	-7.33402e-001
82	 2.7312500000e+002	 3.88692e-001	-7.50724e-001
83	 2.7625000000e+002	 3.81283e-001	-7.70459e-001
84	 2.7937500000e+002	 3.71416e-001	-7.89766e-001
85	 2.8250000000e+002	 3.62634e-001	-8.11292e-001
86	 2.8562500000e+002	 3.51192e-001	-8.31731e-001
87	 2.8875000000e+002	 3.40185e-001	-8.54041e-001
88	 2.9187500000e+002	 3.27125e-001	-8.75620e-001
89	 2.9500000000e+002	 3.13309e-001	-8.97614e-001
90	 2.9812500000e+002	 2.99123e-001	-9.20291e-001
91	 3.0125000000e+002	 2.83059e-001	-9.41349e-001
92	 3.0437500000e+002	 2.67469e-001	-9.64731e-001
93	 3.0750000000e+002	 2.49530e-001	-9.85454e-001
94	 3.1062500000e+002	 2.31934e-001	-1.00815e+000
95	 3.1375000000e+002	 2.12771e-001	-1.02980e+000
96	 3.1687500000e+002	 1.92684e-001	-1.05103e+000
97	 3.2000000000e+002	 1.72748e-001	-1.07390e+000
98	 3.2312500000e+002	 1.51054e-001	-1.09394e+000
99	 3.2625000000e+002	 1.29017e-001	-1.11623e+000
100	 3.2937500000e+002	 1.05619e-001	-1.13744e+000
101	 3.3250000000e+002	 8.12602e-002	-1.15767e+000
102	 3.3562500000e+002	 5.65427e-002	-1.17998e+000
103	 3.3875000000e+002	 3.02137e-002	-1.19897e+000
104	 3.4187500000e+002	 3.05240e-003	-1.21939e+000
105	 3.4500000000e+002	-2.46999e-002	-1.24012e+000
106	 3.4812500000e+002	-5.33348e-002	-1.25833e+000
107	 3.5125000000e+002	-8.34252e-002	-1.27843e+000
108	 3.5437500000e+002	-1.14382e-001	-1.29666e+000
109	 3.5750000000e+002	-1.45515e-001	-1.31365e+000
110	 3.6062500000e+002	-1.78393e-001	-1.33273e+000
111	 3.6375000000e+002	-2.11846e-001	-1.34916e+000
112	 3.6687500000e+002	-2.45580e-001	-1.36512e+000
113	 3.7000000000e+002	-2.81069e-001	-1.38273e+000
114	 3.7312500000e+002	-3.17274e-001	-1.39772e+000
115	 3.7625000000e+002	-3.54061e-001	-1.41249e+000
116	 3.7937500000e+002	-3.92692e-001	-1.42816e+000
117	 3.8250000000e+002	-4.31685e-001	-1.44133e+000
118	 3.8562500000e+002	-4.71281e-001	-1.45433e+000
119	 3.8875000000e+002	-5.12713e-001	-1.46766e+000
120	 3.9187500000e+002	-5.54305e-001	-1.47885e+000
121	 3.9500000000e+002	-5.96261e-001	-1.48965e+000
122	 3.9812500000e+002	-6.40471e-001	-1.50118e+000
123	 4.0125000000e+002	-6.84721e-001	-1.51148e+000
124	 4.0437500000e+002	-7.29565e-001	-1.52032e+000
125	 4.0750000000e+002	-7.77463e-001	-1.53052e+000
126	 4.1062500000e+002	-8.25591e-001	-1.53980e+000
127	 4.1375000000e+002	-8.74750e-001	-1.54599e+000
128	 4.1687500000e+002	-9.27130e-001	-1.55431e+000
